,features,coef,abs_val
134,Exterior1st_CBlock,-0.00015053389010033592,0.00015053389010033592
58,Alley_Pave,0.0001431854100260601,0.0001431854100260601
129,RoofMatl_WdShake,0.0001022146871593585,0.0001022146871593585
127,RoofMatl_Roll,5.514154593947811e-05,5.514154593947811e-05
166,Foundation_Stone,-5.336999169696255e-05,5.336999169696255e-05
174,Electrical_FuseF,-0.0,0.0
176,Electrical_Mixed,0.0,0.0
187,PavedDrive_P,-0.0,0.0
158,Exterior2nd_Wd Sdng,0.0,0.0
180,GarageType_BuiltIn,0.0,0.0
189,Fence_GdWo,0.0,0.0
184,GarageFinish_No,0.0,0.0
160,MasVnrType_BrkFace,0.0,0.0
178,GarageType_Attchd,0.0,0.0
165,Foundation_Slab,0.0,0.0
155,Exterior2nd_Stone,0.0,0.0
161,MasVnrType_None,0.0,0.0
162,MasVnrType_Stone,-0.0,0.0
163,Foundation_CBlock,0.0,0.0
181,GarageType_CarPort,-0.0,0.0
168,Heating_GasA,-0.0,0.0
190,Fence_MnPrv,-0.0,0.0
182,GarageType_Detchd,-0.0,0.0
23,BsmtFinType2,0.0,0.0
154,Exterior2nd_PreCast,0.0,0.0
12,log_BsmtUnfSF,-0.0,0.0
94,Condition1_Feedr,0.0,0.0
93,Neighborhood_Veenker,-0.0,0.0
87,Neighborhood_SWISU,0.0,0.0
10,log_2ndFlrSF,-0.0,0.0
81,Neighborhood_NAmes,-0.0,0.0
78,Neighborhood_Landmrk,-0.0,0.0
77,Neighborhood_IDOTRR,-0.0,0.0
74,Neighborhood_Gilbert,0.0,0.0
60,LandContour_Low,-0.0,0.0
103,Condition2_Norm,0.0,0.0
56,Street_Pave,0.0,0.0
13,log_EnclosedPorch,-0.0,0.0
53,MSZoning_RH,-0.0,0.0
52,MSZoning_I (all),0.0,0.0
51,MSZoning_FV,0.0,0.0
47,BsmtCond,0.0,0.0
33,LotFrontage,0.0,0.0
26,GarageQual,0.0,0.0
7,log_OpenPorchSF,0.0,0.0
106,Condition2_RRAe,-0.0,0.0
152,Exterior2nd_MetalSd,0.0,0.0
135,Exterior1st_CemntBd,-0.0,0.0
151,Exterior2nd_ImStucc,-0.0,0.0
150,Exterior2nd_HdBoard,-0.0,0.0
149,Exterior2nd_CmentBd,0.0,0.0
146,Exterior2nd_Brk Cmn,0.0,0.0
142,Exterior1st_VinylSd,0.0,0.0
141,Exterior1st_Stucco,0.0,0.0
140,Exterior1st_PreCast,0.0,0.0
136,Exterior1st_HdBoard,-0.0,0.0
2,log_MasVnrArea,-0.0,0.0
113,HouseStyle_1.5Unf,0.0,0.0
131,Exterior1st_AsphShn,-0.0,0.0
128,RoofMatl_Tar&Grv,0.0,0.0
126,RoofMatl_Metal,0.0,0.0
124,RoofStyle_Shed,-0.0,0.0
122,RoofStyle_Hip,0.0,0.0
120,RoofStyle_Gable,-0.0,0.0
119,HouseStyle_SLvl,-0.0,0.0
115,HouseStyle_2.5Fin,0.0,0.0
99,Condition1_RRAn,0.0,0.0
